,code,name,country,sector,industry_group,industry
0,SBER,Сбербанк,Россия,Финансы,Банковская деятельность,Банковская деятельность
1,ROSN,Роснефть,Россия,Энергетика,Энергетика,"Добыча нефти, газа и потребляемого топлива"
2,LKOH,ЛУКОЙЛ,Россия,Энергетика,Энергетика,"Добыча нефти, газа и потребляемого топлива"
3,GAZP,ГАЗПРОМ,Россия,Энергетика,Энергетика,"Добыча нефти, газа и потребляемого топлива"
4,NVTK,Новатэк,Россия,Энергетика,Энергетика,"Добыча нефти, газа и потребляемого топлива"
5,SIBN,Газпрнефть,Россия,Энергетика,Энергетика,"Добыча нефти, газа и потребляемого топлива"
6,GMKN,Норникель,Россия,Материалы,Материалы,Металлургия и добывающая промышленность
7,PLZL,Полюс,Россия,Материалы,Материалы,Металлургия и добывающая промышленность
8,SNGS,Сургутнефтегаз,Россия,Энергетика,Энергетика,"Добыча нефти, газа и потребляемого топлива"
9,TATN,Татнефть,Россия,Энергетика,Энергетика,"Добыча нефти, газа и потребляемого топлива"
10,CHMF,Северсталь,Россия,Материалы,Материалы,Металлургия и добывающая промышленность
11,NLMK,НЛМК,Россия,Материалы,Материалы,Металлургия и добывающая промышленность
12,YNDX,Yandex,Нидерланды,Информационные технологии,Программное обеспечение и услуги,Предоставление услуг в сфере информационных технологий
13,VTBR,ВТБ,Россия,Финансы,Банковская деятельность,Банковская деятельность
14,OZON,Ozon Holdings PLC,Кипр,Неосновные потребительские товары,Дистрибьюторская деятельность и розничная торговля в сфере неосновных потребительских товаров,Розничная торговля универсальным ассортиментом товаров
15,MGNT,Магнит,Россия,Потребительские товары массового спроса,Дистрибьюторская деятельность и розничная торговля в сфере потребительских товаров массового спроса,Розничная торговля продуктами питания и потребительскими товарами массового спроса
16,PHOR,ФосАгро,Россия,Материалы,Материалы,Химическое производство
17,IRKT,Яковлев,Россия,Промышленность,Товары производственного назначения,Аэрокосмическая и оборонная промышленность
18,FIVE,X5 Retail Group гдр,Нидерланды,Потребительские товары массового спроса,Дистрибьюторская деятельность и розничная торговля в сфере потребительских товаров массового спроса,Розничная торговля продуктами питания и потребительскими товарами массового спроса
19,RUAL,РУСАЛ,Россия,Материалы,Материалы,Металлургия и добывающая промышленность
20,UNAC,ОАК,Россия,Промышленность,Товары производственного назначения,Аэрокосмическая и оборонная промышленность
21,MTSS,МТС,Россия,Услуги связи,Предоставление телекоммуникационных услуг,Предоставление разнообразных услуг в области телекоммуникации
22,AKRN,Акрон,Россия,Материалы,Материалы,Химическое производство
23,TCSG,ТКС Холдинг,Россия,Финансы,Банковская деятельность,Банковская деятельность
24,MAGN,ММК,Россия,Материалы,Материалы,Металлургия и добывающая промышленность
25,ALRS,АЛРОСА,Россия,Материалы,Материалы,Металлургия и добывающая промышленность
26,PIKK,ПИК,Россия,Недвижимость,Управление недвижимостью и строительство,Управление недвижимостью и строительство
27,BANE,Башнефть,Россия,Энергетика,Энергетика,"Добыча нефти, газа и потребляемого топлива"
28,MOEX,МосБиржа,Россия,Финансы,Финансовые услуги,Деятельность на рынках капитала
29,VSMO,ВСМПО-АВИСМА,Россия,Материалы,Материалы,Металлургия и добывающая промышленность
30,IRAO,Интер РАО,Россия,Предоставление коммунальных услуг,Предоставление коммунальных услуг,Электроснабжение
31,SVCB,Совкомбанк,Россия,Финансы,Банковская деятельность,Банковская деятельность
32,RTKM,Ростелеком,Россия,Услуги связи,Средства массовой информации и услуги развлекательного характера,Средства массовой информации
33,HYDR,РусГидро,Россия,Предоставление коммунальных услуг,Предоставление коммунальных услуг,Деятельность производителей и поставщиков электроэнергии из независимых и возобновляемых источников
34,FLOT,Совкомфлот ПАО,Россия,Промышленность,Транспорт,Деятельность морского транспорта
35,ENPG,ЭН+ ГРУП,Россия,Материалы,Материалы,Металлургия и добывающая промышленность
36,FEES,Россети,Россия,Предоставление коммунальных услуг,Предоставление коммунальных услуг,Электроснабжение
37,RASP,Распадская,Россия,Энергетика,Энергетика,"Добыча нефти, газа и потребляемого топлива"
38,HHRU,Headhunter Group PLC,Кипр,Промышленность,Коммерческие и профессиональные услуги,Профессиональные услуги
39,FIXP,Fix Price,Виргинские острова,Потребительские товары массового спроса,Дистрибьюторская деятельность и розничная торговля в сфере потребительских товаров массового спроса,Розничная торговля продуктами питания и потребительскими товарами массового спроса
40,FESH,ДВМП,Россия,Промышленность,Транспорт,Деятельность морского транспорта
41,CBOM,МКБ,Россия,Финансы,Банковская деятельность,Банковская деятельность
42,AFKS,АФК Система,Россия,Финансы,Финансовые услуги,Финансовые услуги
43,NMTP,НМТП,Россия,Промышленность,Транспорт,Транспортная инфраструктура
44,TRMK,ТМК,Россия,Материалы,Материалы,Металлургия и добывающая промышленность
45,SMLT,Самолет,Россия,Недвижимость,Управление недвижимостью и строительство,Управление недвижимостью и строительство
46,KZOS,Казаньоргсинтез,Россия,Материалы,Материалы,Химическое производство
47,AGRO,Русагро,Кипр,Потребительские товары массового спроса,Пищевая промышленность,Производство продуктов питания
48,GCHE,Черкизово,Россия,Потребительские товары массового спроса,Пищевая промышленность,Производство продуктов питания
49,LSNG,Ленэнерго,Россия,Предоставление коммунальных услуг,Предоставление коммунальных услуг,Электроснабжение
50,AFLT,Аэрофлот,Россия,Промышленность,Транспорт,Пассажирские авиаперевозки
51,UGLD,Южуралзолото ,Россия,Материалы,Материалы,Металлургия и добывающая промышленность
52,POSI,Позитив,Россия,Информационные технологии,Программное обеспечение и услуги,Производство программного обеспечения
53,ROSB,Росбанк,Россия,Финансы,Банковская деятельность,Банковская деятельность
54,NKNC,Нижнекамскнефтехим,Россия,Материалы,Материалы,Химическое производство
55,SFIN,ЭсЭфАй,Россия,Финансы,Финансовые услуги,Деятельность на рынках капитала
56,POLY,Polymetal,остров Джерси,Материалы,Материалы,Металлургия и добывающая промышленность
57,BSPB,БСП,Россия,Финансы,Банковская деятельность,Банковская деятельность
58,MGTS,МГТС,Россия,Услуги связи,Предоставление телекоммуникационных услуг,Предоставление разнообразных услуг в области телекоммуникации
59,UWGN,ОВК,Россия,Промышленность,Транспорт,Деятельность наземного транспорта
