,code,own,owner,year
0,SBER,50.0,Прочие,2022
1,SBER,50.0,Российская Федерация в лице Министерства финансов Российской Федерации,2022
2,ROSN,40.4,"АО ""РОСНЕФТЕГАЗ""",2023
3,ROSN,19.8,BP Russian Investments Limited,2023
4,ROSN,18.5,QH Oil Investments LLC,2023
5,ROSN,10.7,НКОАО «Национальный расчетный депозитарий»,2023
6,ROSN,9.6,ООО «РН-НефтьКапиталИнвест»,2023
7,ROSN,0.8,ООО «РН-Капитал»,2023
8,ROSN,0.2,Прочие,2023
9,LKOH,87.4,Депозитарии,2022
10,LKOH,6.7,Физические лица,2022
11,LKOH,5.9,Прочие,2022
12,NVTK,77.0,Прочие,2021
13,NVTK,14.4,SWGI Growth Fund Limited,2021
14,NVTK,7.3,ООО «ЛЕВИТ»,2021
15,NVTK,1.3,Новатэк Эквити Лимитед,2021
16,GAZP,43.1,Прочие,2023
17,GAZP,38.4,РФ в лице Федерального агентства по управлению государственным имуществом,2023
18,GAZP,11.0,АО «РОСНЕФТЕГАЗ»,2023
19,GAZP,6.6,Держатели АДР,2023
20,GAZP,0.9,АО «Росгазификация»,2023
21,SIBN,95.7,ПАО «Газпром»,2021
22,SIBN,3.8,Прочие,2021
23,SIBN,0.5,ООО «ГПН-Финанс»,2021
24,GMKN,37.0,Интеррос,2023
25,GMKN,36.6,Прочие,2023
26,GMKN,26.4,"МКПАО ""ЭН+ГРУП""",2023
27,PLZL,46.4,МКАО «Вандл Холдингс Лимитед»,2023
28,PLZL,30.0,ООО «Группа Акрополь»,2023
29,PLZL,23.6,Прочие,2023
30,SNGS,99.6,Прочие,2021
31,SNGS,0.4,Богданов Владимир Леонидович,2021
32,TATN,67.3,Прочие,2023
33,TATN,29.1,АО «Связьинвестнефтехим»,2023
34,TATN,3.1,Vamolero Holdings Co. Limited,2023
35,TATN,0.4,Colima Associated S.A. (Колима Ассошиэйтед С.А.),2023
36,TATN,0.1,АО «Национальный негосударственный пенсионный фонд»,2023
37,CHMF,77.0,А.Мордашов,2023
38,CHMF,23.0,Прочие,2023
39,NLMK,79.3,FLETCHER GROUP HOLDINGS LIMITED,2023
40,NLMK,20.7,Прочие,2023
41,YNDX,88.3,Прочие,2023
42,YNDX,8.5,LASTAR Trust,2023
43,YNDX,3.2,"Другие директора, должностные лица и сотрудники",2023
44,TRNFP,78.6,РФ в лице Росимущества,2023
45,TRNFP,20.9,"""Национальный расчетный депозитарий""",2023
46,TRNFP,0.5,Прочие,2023
47,VTBR,60.9,Росимущество,2021
48,VTBR,39.1,Прочие,2021
49,OZON,40.4,Прочие,2022
50,OZON,31.8,Sistema,2022
51,OZON,27.8,Baring Vostok Private Equity Funds,2022
52,PHOR,35.7,Прочие,2023
53,PHOR,23.4,МКООО «АДОРАБЕЛЛА»,2023
54,PHOR,20.6,Литвиненко Т.П.,2023
55,PHOR,20.3,МКООО «ХЛОДВИГ ЭНТЕРПРАЙЗЕС»,2023
56,MGNT,43.6,Прочие,2023
57,MGNT,29.7,ООО «Магнит Альянс»,2023
58,MGNT,26.7,ООО «Марафон Ритейл»,2023
59,IRKT,87.0,"ПАО ""ОАК""",2018
60,IRKT,8.7,"ПАО Компания ""Сухой""",2018
61,IRKT,4.3,Прочие,2018
