,accounts_payable,accounts_payable_current,accounts_payable_long,accounts_receivable,accounts_receivable_current,accounts_receivable_long,amount,capex,cash_and_equiv,cash_paid_for_interest,cff,cfi,cfo,changed_at,code,commission_expense,commission_income,commission_net,cost_of_sales,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,goodwill,gross_profit,interest_expense,interest_income,interest_net,inventories,issuance_of_debt,long_term_assets,long_term_debt,long_term_investments,long_term_lease,long_term_liabilities,month,net_debt,net_issuance_of_debt,operating_income,payments_for_dividends,payments_of_debt,period,preliminary,property_plant_equipment,repurchase_of_stock,research_and_development,retained_earnings,revenue,sel_gen_adm_expenses,share_premium,total_assets,total_debt,total_expenses,total_liabilities,type,year
0,,,,,,,1000000,109400.0,761900.0,,9500.0,144300.0,-244300.0,2023-08-25T12:37:53,SBER,,,140700.0,,RUB,,,,,42400.0,315900,316200.0,395700.0,,,1268000.0,1264500.0,MOEX,-353700.0,,,,289600.0,850600.0,561000.0,,,,572200.0,,,,12,-189700.0,,439000.0,,,Y,ЛОЖЬ,,,,,724000.0,341800.0,,10835100.0,572200.0,,9567100.0,МСФО,2011
1,,,,,,,1000000,144400.0,1616800.0,,160200.0,-409100.0,919000.0,2023-08-25T12:37:53,SBER,,,170300.0,,RUB,,,,,62600.0,347900,348800.0,447900.0,,,1623800.0,1611000.0,MOEX,774600.0,,,,452500.0,1157300.0,704800.0,,,,1076400.0,,,,12,-540400.0,,515300.0,,,Y,ЛОЖЬ,,,,,897900.0,451400.0,,15097400.0,1076400.0,,13473600.0,МСФО,2012
2,,,,,,,1000000,137400.0,1909000.0,,-58900.0,-356700.0,415300.0,2023-08-25T12:37:53,SBER,,,221300.0,,RUB,,,,,68900.0,362000,363800.0,455700.0,,,1881400.0,1871700.0,MOEX,277900.0,,,,616400.0,1478600.0,862200.0,,,,1278100.0,,,,12,-630900.0,,515000.0,,,Y,ЛОЖЬ,,,,,1124800.0,504200.0,,18210300.0,1278100.0,,16328900.0,МСФО,2013
3,,,,,,,1000000,127000.0,2915300.0,,-40900.0,-61600.0,831900.0,2023-08-25T12:37:53,SBER,,,259200.0,,RUB,,,,,73700.0,290300,292200.0,374200.0,,,2020100.0,2015600.0,MOEX,704900.0,,,,818200.0,1837900.0,1019700.0,,,,2072100.0,,,,12,-843200.0,,449200.0,,,Y,ЛОЖЬ,,,,,1357700.0,565100.0,,25200800.0,2072100.0,,23180700.0,МСФО,2014
4,,,,,,,1000000,74300.0,3472100.0,,-511600.0,-90800.0,294600.0,2023-08-25T12:37:53,SBER,,,319000.0,,RUB,,,,,80800.0,222900,223300.0,331200.0,,,2375000.0,2372800.0,MOEX,220300.0,,,,1291600.0,2279600.0,988000.0,,,,2185000.0,,,,12,-1287100.0,,414500.0,,,Y,ЛОЖЬ,,,,,1394500.0,623400.0,,27334700.0,2185000.0,,24959700.0,МСФО,2015
5,,,,,,,1000000,112100.0,3928200.0,,-244100.0,241100.0,387500.0,2023-08-25T12:37:53,SBER,,,349100.0,,RUB,,,,,83000.0,541900,540500.0,677500.0,,,2821600.0,2818100.0,MOEX,275400.0,,,,1036200.0,2399000.0,1362800.0,,,,1900900.0,,,,12,15080800.0,,767600.0,,,Y,ЛОЖЬ,,,,,1833300.0,677600.0,,25368500.0,1900900.0,,22546900.0,МСФО,2016
6,,,,,,,1000000,116300.0,4074300.0,,-162300.0,-105600.0,64800.0,2023-08-25T12:37:53,SBER,,,377100.0,,RUB,,,,,57400.0,748700,750400.0,903100.0,,,3436000.0,3432000.0,MOEX,-51500.0,,,,782600.0,2131400.0,1348800.0,,,,1650900.0,,,,12,-2423400.0,,983500.0,,,Y,ЛОЖЬ,,,,,1847300.0,623400.0,,27112200.0,1650900.0,,23676200.0,МСФО,2017
7,,,,,,,1000000,14400.0,3829200.0,,-16000.0,-13500.0,-184300.0,2023-08-25T12:37:53,SBER,,,101500.0,,RUB,,,,,16800.0,212100,212000.0,281100.0,,,3583500.0,3579100.0,MOEX,-198700.0,,,,216500.0,575100.0,358600.0,,,,1697700.0,,,,3,-2131500.0,,292100.0,,,Q,ЛОЖЬ,,,,,496800.0,157400.0,,27267000.0,1697700.0,,23683500.0,МСФО,2018
8,,,,,,,1000000,46100.0,3303400.0,,-21900.0,-74700.0,30800.0,2023-08-25T12:37:53,SBER,,,205200.0,,RUB,,,,,31100.0,427400,427400.0,541200.0,,,3489400.0,3484700.0,MOEX,-15300.0,,,,373800.0,1056300.0,682500.0,,,,1645500.0,,,,6,-1657900.0,,,,,6M,ЛОЖЬ,,,,,963200.0,296500.0,,28786300.0,1645500.0,,25296900.0,МСФО,2018
9,,,,,,,1000000,31700.0,3303400.0,,-5900.0,-61200.0,215100.0,2023-07-12T12:07:00,SBER,,,103700.0,,RUB,,,,,14300.0,215300,215400.0,260100.0,,,3489400.0,3484700.0,MOEX,183400.0,,,,157300.0,481200.0,323900.0,,,,1645500.0,,,,6,-1657900.0,,,,,Q,ЛОЖЬ,,,,,466400.0,139100.0,,28786300.0,1645500.0,,25296900.0,МСФО,2018
