,code,exchange,month,num,price,year
0,SBER,MOEX,12,21586948000,79.06,2011
1,SBERP,MOEX,12,1000000000,58.85,2011
2,SBERP,MOEX,3,1000000000,78.33,2012
3,SBER,MOEX,3,21586948000,95.14,2012
4,SBERP,MOEX,6,1000000000,61.43,2012
5,SBER,MOEX,6,21586948000,85.44,2012
6,SBERP,MOEX,9,1000000000,66.91,2012
7,SBER,MOEX,9,21586948000,90.89,2012
8,SBER,MOEX,12,21586948000,92.85,2012
9,SBERP,MOEX,12,1000000000,67.56,2012
10,SBER,MOEX,3,21586948000,98.77,2013
11,SBERP,MOEX,3,1000000000,75.1,2013
12,SBERP,MOEX,6,1000000000,70.05,2013
13,SBER,MOEX,6,21586948000,93.48,2013
14,SBERP,MOEX,9,1000000000,74.97,2013
15,SBER,MOEX,9,21586948000,97.73,2013
16,SBERP,MOEX,12,1000000000,79.8,2013
17,SBER,MOEX,12,21586948000,101.04,2013
18,SBERP,MOEX,3,1000000000,66.38,2014
19,SBER,MOEX,3,21586948000,82.35,2014
20,SBER,MOEX,6,21586948000,83.71,2014
21,SBERP,MOEX,6,1000000000,69.23,2014
22,SBER,MOEX,9,21586948000,76.55,2014
23,SBERP,MOEX,9,1000000000,57.64,2014
24,SBERP,MOEX,12,1000000000,37.69,2014
25,SBER,MOEX,12,21586948000,53.91,2014
26,SBERP,MOEX,3,1000000000,45.47,2015
27,SBER,MOEX,3,21586948000,62.53,2015
28,SBERP,MOEX,6,1000000000,47.98,2015
29,SBER,MOEX,6,21586948000,71.44,2015
30,SBER,MOEX,9,21586948000,75.92,2015
31,SBERP,MOEX,9,1000000000,57.65,2015
32,SBER,MOEX,12,21586948000,101.18,2015
33,SBERP,MOEX,12,1000000000,76.33,2015
34,SBERP,MOEX,3,1000000000,78.44,2016
35,SBER,MOEX,3,21586948000,109.04,2016
36,SBERP,MOEX,6,1000000000,89.6,2016
37,SBER,MOEX,6,21586948000,132.97,2016
38,SBERP,MOEX,9,1000000000,106.61,2016
39,SBER,MOEX,9,21586948000,145.69,2016
40,SBER,MOEX,12,21586948000,171.85,2016
41,SBERP,MOEX,12,1000000000,130.19,2016
42,SBER,MOEX,3,21586948000,161.03,2017
43,SBERP,MOEX,3,1000000000,121.06,2017
44,SBERP,MOEX,6,1000000000,118.26,2017
45,SBER,MOEX,6,21586948000,145.55,2017
46,SBERP,MOEX,9,1000000000,156.06,2017
47,SBER,MOEX,9,21586948000,192.23,2017
48,SBERP,MOEX,12,1000000000,190.26,2017
49,SBER,MOEX,12,21586948000,225.08,2017
50,SBERP,MOEX,3,1000000000,214.63,2018
51,SBER,MOEX,3,21586948000,253.8,2018
52,SBER,MOEX,6,21586948000,215.29,2018
53,SBERP,MOEX,6,1000000000,186.24,2018
54,SBER,MOEX,9,21586948000,202.67,2018
55,SBERP,MOEX,9,1000000000,171.15,2018
56,SBERP,MOEX,12,1000000000,165.97,2018
57,SBER,MOEX,12,21586948000,186.07,2018
58,SBERP,MOEX,3,1000000000,190.02,2019
59,SBER,MOEX,3,21586948000,216.21,2019
60,SBERP,MOEX,6,1000000000,206.5,2019
61,SBER,MOEX,6,21586948000,239.56,2019
62,SBER,MOEX,9,21586948000,227.43,2019
63,SBERP,MOEX,9,1000000000,200.72,2019
64,SBER,MOEX,12,21586948000,253.95,2019
65,SBERP,MOEX,12,1000000000,227.85,2019
66,SBERP,MOEX,3,1000000000,176.48,2020
67,SBER,MOEX,3,21586948000,186.56,2020
68,SBERP,MOEX,6,1000000000,188.79,2020
69,SBER,MOEX,6,21586948000,203.67,2020
70,SBERP,MOEX,9,1000000000,220.76,2020
71,SBER,MOEX,9,21586948000,227.24,2020
72,SBER,MOEX,12,21586948000,272.08,2020
73,SBERP,MOEX,12,1000000000,242.28,2020
74,SBER,MOEX,3,21586948000,292.04,2021
75,SBERP,MOEX,3,1000000000,271.42,2021
76,SBERP,MOEX,6,1000000000,281.11,2021
77,SBER,MOEX,6,21586948000,304.98,2021
78,SBERP,MOEX,9,1000000000,314.71,2021
79,SBER,MOEX,9,21586948000,335.97,2021
80,SBERP,MOEX,12,1000000000,278.09,2021
81,SBER,MOEX,12,21586948000,293.17,2021
82,SBERP,MOEX,3,1000000000,141.62,2022
83,SBER,MOEX,3,21586948000,140.76,2022
84,SBER,MOEX,6,21586948000,128.68,2022
85,SBERP,MOEX,6,1000000000,123.55,2022
86,SBER,MOEX,9,21586948000,109.02,2022
87,SBERP,MOEX,9,1000000000,104.65,2022
88,SBERP,MOEX,12,1000000000,140.34,2022
89,SBER,MOEX,12,21586948000,140.81,2022
90,SBERP,MOEX,3,1000000000,213.73,2023
91,SBER,MOEX,3,21586948000,214.09,2023
92,SBERP,MOEX,6,1000000000,237.31,2023
93,SBER,MOEX,6,21586948000,239.45,2023
94,SBER,MOEX,9,21586948000,260.75,2023
95,SBERP,MOEX,9,1000000000,260.38,2023
96,SBER,MOEX,12,21586948000,271.58,2023
97,SBERP,MOEX,12,1000000000,272.49,2023
98,SBERP,MOEX,3,1000000000,298.81,2024
99,SBER,MOEX,3,21586948000,298.66,2024
100,SBER,MOEX,12,21586948000,79.06,2011
101,SBERP,MOEX,12,1000000000,58.85,2011
102,SBERP,MOEX,3,1000000000,78.33,2012
103,SBER,MOEX,3,21586948000,95.14,2012
104,SBERP,MOEX,6,1000000000,61.43,2012
105,SBER,MOEX,6,21586948000,85.44,2012
106,SBERP,MOEX,9,1000000000,66.91,2012
107,SBER,MOEX,9,21586948000,90.89,2012
108,SBER,MOEX,12,21586948000,92.85,2012
109,SBERP,MOEX,12,1000000000,67.56,2012
110,SBER,MOEX,3,21586948000,98.77,2013
111,SBERP,MOEX,3,1000000000,75.1,2013
112,SBERP,MOEX,6,1000000000,70.05,2013
113,SBER,MOEX,6,21586948000,93.48,2013
114,SBERP,MOEX,9,1000000000,74.97,2013
115,SBER,MOEX,9,21586948000,97.73,2013
116,SBERP,MOEX,12,1000000000,79.8,2013
117,SBER,MOEX,12,21586948000,101.04,2013
118,SBERP,MOEX,3,1000000000,66.38,2014
119,SBER,MOEX,3,21586948000,82.35,2014
120,SBER,MOEX,6,21586948000,83.71,2014
121,SBERP,MOEX,6,1000000000,69.23,2014
122,SBER,MOEX,9,21586948000,76.55,2014
123,SBERP,MOEX,9,1000000000,57.64,2014
124,SBERP,MOEX,12,1000000000,37.69,2014
125,SBER,MOEX,12,21586948000,53.91,2014
126,SBERP,MOEX,3,1000000000,45.47,2015
127,SBER,MOEX,3,21586948000,62.53,2015
128,SBERP,MOEX,6,1000000000,47.98,2015
129,SBER,MOEX,6,21586948000,71.44,2015
130,SBER,MOEX,9,21586948000,75.92,2015
131,SBERP,MOEX,9,1000000000,57.65,2015
132,SBER,MOEX,12,21586948000,101.18,2015
133,SBERP,MOEX,12,1000000000,76.33,2015
134,SBERP,MOEX,3,1000000000,78.44,2016
135,SBER,MOEX,3,21586948000,109.04,2016
136,SBERP,MOEX,6,1000000000,89.6,2016
137,SBER,MOEX,6,21586948000,132.97,2016
138,SBERP,MOEX,9,1000000000,106.61,2016
139,SBER,MOEX,9,21586948000,145.69,2016
140,SBER,MOEX,12,21586948000,171.85,2016
141,SBERP,MOEX,12,1000000000,130.19,2016
